shapeid,partid,x,y
"17","0",-8.68094984531257,41.2529074404353
"17","0",-8.68085773951598,41.2531126117885
"17","0",-8.68072381686764,41.2533983921809
"17","0",-8.68066123929738,41.2535412890794
"17","0",-8.68061469946806,41.2536698232106
"17","0",-8.68057355771674,41.2538654124949
"17","0",-8.68056117148039,41.2539287071457
"17","0",-8.6805593873018,41.2540171869392
"17","0",-8.68056093198341,41.2541612302657
"17","0",-8.68056487371497,41.2542821300365
"18","0",-8.68260366779742,41.255946422031
"18","0",-8.68271122192203,41.2559445774299
"18","0",-8.68287907014158,41.2559569181967
"18","0",-8.68301955770464,41.2559940635573
"18","0",-8.68313572176223,41.2560476104035
"18","0",-8.68324614953419,41.2561247424392
"18","0",-8.68329735324382,41.2561708992257
"18","0",-8.6833774015447,41.2562786478347
"18","0",-8.6834046908876,41.2563496227584
"18","0",-8.68341362990185,41.2563877340647
"19","0",-8.68094207464146,41.255719533794
"19","0",-8.68102197463133,41.2558326560808
"19","0",-8.68111349031574,41.2559212370318
"19","0",-8.68116930253782,41.255959017897
"19","0",-8.68126736037777,41.2560114352647
"19","0",-8.68131685492793,41.2560302876625
"19","0",-8.68140813168908,41.2560591318378
"19","0",-8.68147801948836,41.2560715160219
"19","0",-8.68160383397485,41.2560821341006
"19","0",-8.68165643902169,41.256082220152
"19","0",-8.68208650383233,41.2560261531287
"19","0",-8.68253605193256,41.2559597382285
"19","0",-8.68268356932329,41.255930771348
"19","0",-8.68279439327655,41.2558934911766
"19","0",-8.68293472489639,41.2558085320913
"19","0",-8.68297769359536,41.2557755404234
"19","0",-8.68303898929005,41.2557085879292
"19","0",-8.68310379147148,41.2556058741327
"19","0",-8.68313137364715,41.2555419786161
"19","0",-8.68314574112476,41.2554831290976
"19","0",-8.68315046929009,41.2554072031035
"19","0",-8.68312423011933,41.2552579648126
"20","0",-8.68279303245752,41.2566198505278
"20","0",-8.68297949861468,41.2566187409251
"20","0",-8.68303451898414,41.2566255659858
"20","0",-8.6831391531821,41.2566499724893
"20","0",-8.68321878833588,41.2566745553503
"20","0",-8.68342604257903,41.2568001879787
"20","0",-8.6834790322523,41.2568446172827
"20","0",-8.68355320011031,41.2569508696537
"20","0",-8.6835891068112,41.2570612523546
"21","0",-8.6749159311604,41.238851659727
"21","0",-8.67490477832493,41.2390043242447
"21","0",-8.67488250001915,41.2390654928199
"21","0",-8.67483652583776,41.2391608718982
"21","0",-8.67464551687824,41.2393785724601
"21","0",-8.67450970930921,41.2395255608341
"21","0",-8.67424575909539,41.2398273073071
"21","0",-8.67418655311477,41.2399236551257
"21","0",-8.67416061638741,41.2399732257987
"21","0",-8.67415115339482,41.240032537376
"21","0",-8.67414866410498,41.2401037908993
"21","0",-8.67417359152467,41.2402332317178
"21","0",-8.67424077850761,41.240494835633
"21","0",-8.67436743890713,41.2408872601556
"21","0",-8.67442479470287,41.2410108307322
"21","0",-8.67448991124078,41.2411390207764
"21","0",-8.67458825874942,41.2412985794535
"21","0",-8.67483543094447,41.2416015886407
"21","0",-8.67514826940329,41.2418927518717
"21","0",-8.67540998565054,41.2420833686015
"21","0",-8.67561919131441,41.2422137915257
"21","0",-8.67595458534855,41.2423929127927
"21","0",-8.67611367080902,41.2424760051343
"21","0",-8.67665873737239,41.2427715211267
"21","0",-8.67675636600749,41.2428274578628
"21","0",-8.67682001009383,41.2428715039371
"21","0",-8.67693362016163,41.242959997363
"21","0",-8.67700917243855,41.2430472603866
"21","0",-8.67704668655992,41.2430915542062
"21","0",-8.67709997627757,41.2431871033986
"21","0",-8.67715715302831,41.2433775338147
"21","0",-8.67722767288774,41.2436408798869
"21","0",-8.67735365070406,41.2441193576033
"21","0",-8.67810851645445,41.2469965588049
"21","0",-8.67820568055114,41.2473752827662
"21","0",-8.67829568055235,41.2476131238993
"21","0",-8.67835993868148,41.2477483180387
"21","0",-8.6784431479775,41.2478860199976
"21","0",-8.67875986754056,41.2483040359516
